time,azimuth,elevation
2021-12-21T07:48:25.105171-07:00,120.838099,-0.834923
2021-12-21T07:49:25.105171-07:00,120.999989,-0.672528
2021-12-21T07:50:25.105171-07:00,121.162150,-0.510408
2021-12-21T07:51:25.105171-07:00,121.324584,-0.348566
2021-12-21T07:52:25.105171-07:00,121.487292,-0.187003
2021-12-21T07:53:25.105171-07:00,121.650278,-0.025721
2021-12-21T07:54:25.105171-07:00,121.813543,0.135278
2021-12-21T07:55:25.105171-07:00,121.977089,0.295992
2021-12-21T07:56:25.105171-07:00,122.140919,0.456420
2021-12-21T07:57:25.105171-07:00,122.305033,0.616560
2021-12-21T07:58:25.105171-07:00,122.469436,0.776410
2021-12-21T07:59:25.105171-07:00,122.634127,0.935968
2021-12-21T08:00:25.105171-07:00,122.799111,1.095232
2021-12-21T08:01:25.105171-07:00,122.964388,1.254201
2021-12-21T08:02:25.105171-07:00,123.129960,1.412872
2021-12-21T08:03:25.105171-07:00,123.295831,1.571244
2021-12-21T08:04:25.105171-07:00,123.462001,1.729315
2021-12-21T08:05:25.105171-07:00,123.628473,1.887083
2021-12-21T08:06:25.105171-07:00,123.795249,2.044546
2021-12-21T08:07:25.105171-07:00,123.962330,2.201703
2021-12-21T08:08:25.105171-07:00,124.129720,2.358551
2021-12-21T08:09:25.105171-07:00,124.297419,2.515088
2021-12-21T08:10:25.105171-07:00,124.465430,2.671313
2021-12-21T08:11:25.105171-07:00,124.633755,2.827223
2021-12-21T08:12:25.105171-07:00,124.802395,2.982817
2021-12-21T08:13:25.105171-07:00,124.971354,3.138092
2021-12-21T08:14:25.105171-07:00,125.140632,3.293048
2021-12-21T08:15:25.105171-07:00,125.310231,3.447681
2021-12-21T08:16:25.105171-07:00,125.480155,3.601990
2021-12-21T08:17:25.105171-07:00,125.650404,3.755973
2021-12-21T08:18:25.105171-07:00,125.820980,3.909628
2021-12-21T08:19:25.105171-07:00,125.991886,4.062952
2021-12-21T08:20:25.105171-07:00,126.163123,4.215945
2021-12-21T08:21:25.105171-07:00,126.334693,4.368603
2021-12-21T08:22:25.105171-07:00,126.506599,4.520925
2021-12-21T08:23:25.105171-07:00,126.678842,4.672909
2021-12-21T08:24:25.105171-07:00,126.851423,4.824553
2021-12-21T08:25:25.105171-07:00,127.024346,4.975854
2021-12-21T08:26:25.105171-07:00,127.197611,5.126811
2021-12-21T08:27:25.105171-07:00,127.371220,5.277421
2021-12-21T08:28:25.105171-07:00,127.545176,5.427684
2021-12-21T08:29:25.105171-07:00,127.719481,5.577595
2021-12-21T08:30:25.105171-07:00,127.894135,5.727154
2021-12-21T08:31:25.105171-07:00,128.069141,5.876358
2021-12-21T08:32:25.105171-07:00,128.244501,6.025205
2021-12-21T08:33:25.105171-07:00,128.420217,6.173693
2021-12-21T08:34:25.105171-07:00,128.596289,6.321820
2021-12-21T08:35:25.105171-07:00,128.772721,6.469584
2021-12-21T08:36:25.105171-07:00,128.949514,6.616983
2021-12-21T08:37:25.105171-07:00,129.126669,6.764014
2021-12-21T08:38:25.105171-07:00,129.304189,6.910675
2021-12-21T08:39:25.105171-07:00,129.482074,7.056964
2021-12-21T08:40:25.105171-07:00,129.660328,7.202879
2021-12-21T08:41:25.105171-07:00,129.838951,7.348418
2021-12-21T08:42:25.105171-07:00,130.017945,7.493579
2021-12-21T08:43:25.105171-07:00,130.197313,7.638358
2021-12-21T08:44:25.105171-07:00,130.377055,7.782755
2021-12-21T08:45:25.105171-07:00,130.557173,7.926767
2021-12-21T08:46:25.105171-07:00,130.737669,8.070392
2021-12-21T08:47:25.105171-07:00,130.918545,8.213627
2021-12-21T08:48:25.105171-07:00,131.099802,8.356470
2021-12-21T08:49:25.105171-07:00,131.281442,8.498919
2021-12-21T08:50:25.105171-07:00,131.463466,8.640972
2021-12-21T08:51:25.105171-07:00,131.645876,8.782626
2021-12-21T08:52:25.105171-07:00,131.828674,8.923879
2021-12-21T08:53:25.105171-07:00,132.011861,9.064729
2021-12-21T08:54:25.105171-07:00,132.195439,9.205174
2021-12-21T08:55:25.105171-07:00,132.379409,9.345210
2021-12-21T08:56:25.105171-07:00,132.563773,9.484837
2021-12-21T08:57:25.105171-07:00,132.748532,9.624051
2021-12-21T08:58:25.105171-07:00,132.933688,9.762850
2021-12-21T08:59:25.105171-07:00,133.119243,9.901233
2021-12-21T09:00:25.105171-07:00,133.305197,10.039195
2021-12-21T09:01:25.105171-07:00,133.491552,10.176736
2021-12-21T09:02:25.105171-07:00,133.678309,10.313853
2021-12-21T09:03:25.105171-07:00,133.865471,10.450543
2021-12-21T09:04:25.105171-07:00,134.053038,10.586805
2021-12-21T09:05:25.105171-07:00,134.241012,10.722634
2021-12-21T09:06:25.105171-07:00,134.429394,10.858031
2021-12-21T09:07:25.105171-07:00,134.618186,10.992991
2021-12-21T09:08:25.105171-07:00,134.807388,11.127512
2021-12-21T09:09:25.105171-07:00,134.997002,11.261592
2021-12-21T09:10:25.105171-07:00,135.187030,11.395229
2021-12-21T09:11:25.105171-07:00,135.377473,11.528420
2021-12-21T09:12:25.105171-07:00,135.568331,11.661163
2021-12-21T09:13:25.105171-07:00,135.759607,11.793455
2021-12-21T09:14:25.105171-07:00,135.951301,11.925294
2021-12-21T09:15:25.105171-07:00,136.143414,12.056677
2021-12-21T09:16:25.105171-07:00,136.335949,12.187602
2021-12-21T09:17:25.105171-07:00,136.528905,12.318066
2021-12-21T09:18:25.105171-07:00,136.722284,12.448068
2021-12-21T09:19:25.105171-07:00,136.916087,12.577603
2021-12-21T09:20:25.105171-07:00,137.110316,12.706670
2021-12-21T09:21:25.105171-07:00,137.304970,12.835267
2021-12-21T09:22:25.105171-07:00,137.500052,12.963391
2021-12-21T09:23:25.105171-07:00,137.695563,13.091038
2021-12-21T09:24:25.105171-07:00,137.891503,13.218208
2021-12-21T09:25:25.105171-07:00,138.087873,13.344897
2021-12-21T09:26:25.105171-07:00,138.284674,13.471102
2021-12-21T09:27:25.105171-07:00,138.481908,13.596822
2021-12-21T09:28:25.105171-07:00,138.679575,13.722053
2021-12-21T09:29:25.105171-07:00,138.877676,13.846793
2021-12-21T09:30:25.105171-07:00,139.076211,13.971040
2021-12-21T09:31:25.105171-07:00,139.275183,14.094790
2021-12-21T09:32:25.105171-07:00,139.474591,14.218042
2021-12-21T09:33:25.105171-07:00,139.674436,14.340792
2021-12-21T09:34:25.105171-07:00,139.874719,14.463038
2021-12-21T09:35:25.105171-07:00,140.075441,14.584778
2021-12-21T09:36:25.105171-07:00,140.276603,14.706009
2021-12-21T09:37:25.105171-07:00,140.478205,14.826728
2021-12-21T09:38:25.105171-07:00,140.680247,14.946933
2021-12-21T09:39:25.105171-07:00,140.882731,15.066621
2021-12-21T09:40:25.105171-07:00,141.085658,15.185789
2021-12-21T09:41:25.105171-07:00,141.289026,15.304435
2021-12-21T09:42:25.105171-07:00,141.492838,15.422556
2021-12-21T09:43:25.105171-07:00,141.697094,15.540150
2021-12-21T09:44:25.105171-07:00,141.901793,15.657213
2021-12-21T09:45:25.105171-07:00,142.106938,15.773744
2021-12-21T09:46:25.105171-07:00,142.312527,15.889739
2021-12-21T09:47:25.105171-07:00,142.518562,16.005197
2021-12-21T09:48:25.105171-07:00,142.725042,16.120113
2021-12-21T09:49:25.105171-07:00,142.931969,16.234486
2021-12-21T09:50:25.105171-07:00,143.139342,16.348313
2021-12-21T09:51:25.105171-07:00,143.347162,16.461591
2021-12-21T09:52:25.105171-07:00,143.555428,16.574318
2021-12-21T09:53:25.105171-07:00,143.764142,16.686490
2021-12-21T09:54:25.105171-07:00,143.973303,16.798106
2021-12-21T09:55:25.105171-07:00,144.182912,16.909163
2021-12-21T09:56:25.105171-07:00,144.392968,17.019657
2021-12-21T09:57:25.105171-07:00,144.603471,17.129586
2021-12-21T09:58:25.105171-07:00,144.814422,17.238948
2021-12-21T09:59:25.105171-07:00,145.025821,17.347740
2021-12-21T10:00:25.105171-07:00,145.237668,17.455959
2021-12-21T10:01:25.105171-07:00,145.449962,17.563602
2021-12-21T10:02:25.105171-07:00,145.662703,17.670667
2021-12-21T10:03:25.105171-07:00,145.875892,17.777151
2021-12-21T10:04:25.105171-07:00,146.089527,17.883051
2021-12-21T10:05:25.105171-07:00,146.303610,17.988365
2021-12-21T10:06:25.105171-07:00,146.518139,18.093090
2021-12-21T10:07:25.105171-07:00,146.733115,18.197223
2021-12-21T10:08:25.105171-07:00,146.948537,18.300761
2021-12-21T10:09:25.105171-07:00,147.164404,18.403703
2021-12-21T10:10:25.105171-07:00,147.380717,18.506044
2021-12-21T10:11:25.105171-07:00,147.597474,18.607784
2021-12-21T10:12:25.105171-07:00,147.814676,18.708917
2021-12-21T10:13:25.105171-07:00,148.032322,18.809443
2021-12-21T10:14:25.105171-07:00,148.250411,18.909358
2021-12-21T10:15:25.105171-07:00,148.468942,19.008660
2021-12-21T10:16:25.105171-07:00,148.687916,19.107346
